model,top1,param_count,img_size,dataset
cvt_w24,87.6,277,384,22k
cvt_21_384_22k,84.9,32,384,22k
shuffle_vit_base_patch4_window7_224,84.0,88,224,1k
shuffle_vit_small_patch4_window7_224,83.6,50,224,1k
cvt_13_384_22k,83.3,20,384,22k
cvt_21_384,83.3,32,384,1k
vip_l7,83.2,83,224,1k
cyclemlp_b5,83.2,76,224,1k
cvt_13_384,83.0,20,384,1k
cyclemlp_b4,83.0,52,224,1k
deit_base_patch16_224_ctx_product_50_shared_qkv,82.8,86.68,224,1k
rexnet_30,82.8,34,224,1k
vip_m7,82.7,55,224,1k
cvt_21_224,82.5,32,224,1k
shuffle_vit_tiny_patch4_window7_224,82.4,28,224,1k
cyclemlp_b3,82.4,38,224,1k
contnet_b,81.8,39.6,224,1k
cvt_13_224,81.6,20,224,1k
cyclemlp_b2,81.6,27,224,1k
rexnet_20,81.6,19,224,1k
vip_s7,81.5,25,224,1k
swin_base_patch4_window14_224_esvit,81.3,87,224,1k
deit_small_patch16_224_ctx_product_50_shared_qkv,81.2,22.17,224,1k
swin_small_patch4_window14_224_esvit,80.8,49,224,1k
swin_base_patch4_window7_224_esvit,80.4,87,224,1k
rexnet_15,80.3,9.7,224,1k
convmlp_l,80.2,42.7,224,1k
contnet_m,80.2,19.2,224,1k
rexnet_13,79.5,7.6,224,1k
swin_small_patch4_window7_224_esvit,79.5,49,224,1k
convmlp_m,79.0,17.4,224,1k
cyclemlp_b1,78.9,15,224,1k
swin_tiny_patch4_window14_224_esvit,78.7,28,224,1k
swin_tiny_patch4_window7_224_esvit,78.0,28,224,1k
rexnet_10,77.9,4.8,224,1k
convmlp_s,76.8,9.0,224,1k
